Label 	 Pattern 	 Pattern_num 	 P(class|pattern) 	 Supp in class 	 Supp in data 
1	['ENSG00000078098', 'ENSG00000160213', 'ENSG00000120708', 'ENSG00000113758']	[11142, 12333, 15120, 15455]	83.33	5.618	3.3898
1	['ENSG00000168542']	[11262]	87.5	47.191	27.1186
1	['ENSG00000079246', 'ENSG00000104522']	[11393, 18053]	100.0	24.7191	12.4294
1	['ENSG00000115649']	[11434]	95.92	52.809	27.6836
1	['ENSG00000125818']	[11636]	95.65	49.4382	25.9887
1	['ENSG00000100162', 'ENSG00000203879']	[12727, 19685]	100.0	26.9663	13.5593
1	['ENSG00000132182', 'ENSG00000163689', 'ENSG00000175166', 'ENSG00000146918']	[12891, 13276, 13791, 17440]	100.0	26.9663	13.5593
1	['ENSG00000282827', 'ENSG00000164815']	[13110, 17122]	95.65	24.7191	12.9944
1	['ENSG00000008300']	[13118]	98.0	55.0562	28.2486
1	['ENSG00000163950']	[13921]	100.0	48.3146	24.2938
1	['ENSG00000171617']	[14879]	93.88	51.6854	27.6836
1	['ENSG00000123643']	[15322]	88.89	44.9438	25.4237
1	['ENSG00000050748']	[15492]	95.45	47.191	24.8588
1	['ENSG00000096092']	[16089]	97.78	49.4382	25.4237
1	['ENSG00000185290']	[16832]	93.02	44.9438	24.2938
1	['ENSG00000171855']	[18179]	86.36	42.6966	24.8588
1	['ENSG00000130985']	[19081]	100.0	52.809	26.5537
1	['ENSG00000102265']	[19087]	87.23	46.0674	26.5537
1	['ENSG00000232119']	[19488]	100.0	48.3146	24.2938
